keap1_mutant,oof_probability
1.000000000000000000e+00,4.091472336567900103e-01
0.000000000000000000e+00,1.729083452123453546e-01
0.000000000000000000e+00,3.587099929653554953e-01
0.000000000000000000e+00,1.684960974440236625e-01
0.000000000000000000e+00,1.724259079289071073e-01
0.000000000000000000e+00,1.975112564575480234e-01
0.000000000000000000e+00,1.534667637048916233e-01
0.000000000000000000e+00,1.921861840398889076e-01
0.000000000000000000e+00,2.241373238916353205e-01
0.000000000000000000e+00,2.099302363917525949e-01
0.000000000000000000e+00,1.960228168506910340e-01
0.000000000000000000e+00,1.889484587706918572e-01
0.000000000000000000e+00,4.694658452030827517e-02
0.000000000000000000e+00,5.792576687860014062e-02
0.000000000000000000e+00,4.811751996725701641e-01
0.000000000000000000e+00,2.059448760425529323e-01
0.000000000000000000e+00,1.596141229023395336e-01
1.000000000000000000e+00,6.280672624789229719e-01
1.000000000000000000e+00,4.659884196123093014e-01
0.000000000000000000e+00,1.990913915159077674e-01
0.000000000000000000e+00,1.786991699905921827e-01
0.000000000000000000e+00,1.728212803386150465e-01
0.000000000000000000e+00,1.927117188924294400e-01
0.000000000000000000e+00,1.934762017720191019e-01
0.000000000000000000e+00,1.850970715398658761e-01
0.000000000000000000e+00,2.058493751904837687e-01
0.000000000000000000e+00,1.970213750881176507e-01
0.000000000000000000e+00,2.099774710887445106e-01
0.000000000000000000e+00,2.090623962804951663e-01
0.000000000000000000e+00,1.237816437520791457e-01
0.000000000000000000e+00,2.171389778945121141e-01
1.000000000000000000e+00,3.189557579223042394e-01
1.000000000000000000e+00,3.683805750120338618e-01
0.000000000000000000e+00,1.821543258958061018e-01
0.000000000000000000e+00,1.395309876762971246e-01
0.000000000000000000e+00,3.045204778178575156e-01
0.000000000000000000e+00,1.871993290711113644e-01
0.000000000000000000e+00,1.998086585849538910e-01
0.000000000000000000e+00,1.886377141983588968e-01
0.000000000000000000e+00,1.734426394532494198e-01
0.000000000000000000e+00,1.854890167899911901e-01
0.000000000000000000e+00,4.421342885889564811e-01
0.000000000000000000e+00,3.009378993352394005e-01
0.000000000000000000e+00,2.892036061104356626e-01
0.000000000000000000e+00,2.667090980303369885e-01
