keap1_mutant,oof_probability
1.000000000000000000e+00,4.079941029408760134e-01
0.000000000000000000e+00,1.782341744680026874e-01
0.000000000000000000e+00,2.183574989907173525e-01
0.000000000000000000e+00,1.751560262685257496e-01
0.000000000000000000e+00,1.790509313062732533e-01
0.000000000000000000e+00,8.176453401154758494e-01
0.000000000000000000e+00,2.032076463466135074e-01
0.000000000000000000e+00,1.908301193148255470e-01
0.000000000000000000e+00,7.094482954853818801e-02
0.000000000000000000e+00,1.966914215281807821e-01
0.000000000000000000e+00,2.338514604802785224e-01
0.000000000000000000e+00,1.859760756876499832e-01
0.000000000000000000e+00,1.743517677280426170e-01
0.000000000000000000e+00,1.820624179265069031e-01
0.000000000000000000e+00,4.914752913582369764e-01
0.000000000000000000e+00,1.924794682245582478e-01
0.000000000000000000e+00,1.665166335884996907e-01
1.000000000000000000e+00,5.599695770492018054e-01
1.000000000000000000e+00,4.198084939730581389e-01
0.000000000000000000e+00,2.258503230601520972e-01
0.000000000000000000e+00,6.396783037589971743e-02
0.000000000000000000e+00,1.786584000774354419e-01
0.000000000000000000e+00,1.802840580049766828e-01
0.000000000000000000e+00,3.308312000101077399e-01
0.000000000000000000e+00,2.687485347398380076e-01
0.000000000000000000e+00,4.719388135065633733e-02
0.000000000000000000e+00,1.967550276633925344e-01
0.000000000000000000e+00,1.909577806877664208e-01
0.000000000000000000e+00,2.084146443649086688e-01
0.000000000000000000e+00,2.029286731094600282e-01
0.000000000000000000e+00,2.065370564281616417e-01
1.000000000000000000e+00,8.881366368182075366e-01
1.000000000000000000e+00,3.528636808265744329e-01
0.000000000000000000e+00,1.850273262584647693e-01
0.000000000000000000e+00,1.846404945752036786e-01
0.000000000000000000e+00,1.931292960061572195e-01
0.000000000000000000e+00,1.907765679549328075e-01
0.000000000000000000e+00,2.319113744406026412e-01
0.000000000000000000e+00,1.852378624313464062e-01
0.000000000000000000e+00,1.829934590427801933e-01
0.000000000000000000e+00,8.755926023212626252e-02
0.000000000000000000e+00,4.309572006842289360e-01
0.000000000000000000e+00,2.258887492257472263e-01
0.000000000000000000e+00,9.784516893964183282e-02
0.000000000000000000e+00,1.045409526511646009e-01
0.000000000000000000e+00,1.859895500361711806e-01
0.000000000000000000e+00,1.829556264139619859e-01
0.000000000000000000e+00,2.012581467362830334e-01
0.000000000000000000e+00,1.778951868890421839e-01
0.000000000000000000e+00,5.947996612250863735e-02
0.000000000000000000e+00,1.915656287939486446e-01
1.000000000000000000e+00,8.978538299410174783e-01
0.000000000000000000e+00,1.859791875234866887e-01
1.000000000000000000e+00,3.515622475357878529e-01
1.000000000000000000e+00,2.249466416751488285e-01
0.000000000000000000e+00,1.769385461906824997e-01
1.000000000000000000e+00,4.939236641660757487e-01
0.000000000000000000e+00,1.778262110819761876e-01
0.000000000000000000e+00,1.814442672522919020e-01
1.000000000000000000e+00,2.417272316311876446e-01
1.000000000000000000e+00,8.299407663922685474e-01
0.000000000000000000e+00,5.333323543170475078e-01
1.000000000000000000e+00,5.854842677416924879e-01
0.000000000000000000e+00,1.095689754802108146e-01
0.000000000000000000e+00,1.699332328353870269e-01
0.000000000000000000e+00,1.864478236855111049e-01
0.000000000000000000e+00,1.814087825163986922e-01
0.000000000000000000e+00,1.827116570746861735e-01
0.000000000000000000e+00,1.668433101084720038e-01
0.000000000000000000e+00,5.033686455776104074e-02
1.000000000000000000e+00,3.781967945849186163e-01
0.000000000000000000e+00,1.754383154006075585e-01
1.000000000000000000e+00,2.966242361041939724e-01
0.000000000000000000e+00,1.757974448862431038e-01
0.000000000000000000e+00,1.893405591145835842e-01
1.000000000000000000e+00,2.961986126327481039e-01
