male,oof_probability
1.000000000000000000e+00,8.602087764364596545e-01
0.000000000000000000e+00,1.145015856628246176e-01
1.000000000000000000e+00,8.594424447184575433e-01
0.000000000000000000e+00,1.369203370925616559e-01
1.000000000000000000e+00,8.546052583697786309e-01
1.000000000000000000e+00,8.532953417158699594e-01
0.000000000000000000e+00,1.491532775185019644e-01
1.000000000000000000e+00,8.555482625220901527e-01
0.000000000000000000e+00,2.204492165561353356e-01
0.000000000000000000e+00,1.727849110024170520e-01
1.000000000000000000e+00,8.561994208759449165e-01
1.000000000000000000e+00,8.612556244830954499e-01
1.000000000000000000e+00,8.621354516289364556e-01
1.000000000000000000e+00,8.600191190553649889e-01
1.000000000000000000e+00,8.598604440844076491e-01
0.000000000000000000e+00,1.314136708122053965e-01
1.000000000000000000e+00,8.512449752543954640e-01
0.000000000000000000e+00,1.907368890478109702e-01
1.000000000000000000e+00,8.543737926060348542e-01
0.000000000000000000e+00,1.886647998376193569e-01
0.000000000000000000e+00,1.170443103468165880e-01
1.000000000000000000e+00,8.566226313265538073e-01
1.000000000000000000e+00,8.323813269949165150e-01
1.000000000000000000e+00,8.172454399485152843e-01
0.000000000000000000e+00,1.138208480295897634e-01
0.000000000000000000e+00,1.831938040626223396e-01
1.000000000000000000e+00,8.446153211480592615e-01
1.000000000000000000e+00,8.272439632360911732e-01
1.000000000000000000e+00,8.438764325546623812e-01
1.000000000000000000e+00,8.169856655851460703e-01
0.000000000000000000e+00,1.412627148248424003e-01
0.000000000000000000e+00,2.695347878248812723e-01
0.000000000000000000e+00,1.524940092838948658e-01
0.000000000000000000e+00,2.006196331182577564e-01
0.000000000000000000e+00,1.802536383268388831e-01
0.000000000000000000e+00,1.714316402090168279e-01
1.000000000000000000e+00,8.622130928222718760e-01
0.000000000000000000e+00,4.410926383272648632e-01
0.000000000000000000e+00,1.315794482317388103e-01
0.000000000000000000e+00,2.018611656173832647e-01
1.000000000000000000e+00,8.577122355958032296e-01
0.000000000000000000e+00,1.391759805008538908e-01
1.000000000000000000e+00,8.581345385951127946e-01
1.000000000000000000e+00,8.230251725923790618e-01
1.000000000000000000e+00,8.557706887687897002e-01
0.000000000000000000e+00,1.117020702732781506e-01
0.000000000000000000e+00,1.236252559391378819e-01
0.000000000000000000e+00,1.645821973690042572e-01
0.000000000000000000e+00,1.067488395809921276e-01
0.000000000000000000e+00,1.276191608316589454e-01
1.000000000000000000e+00,8.544744314301500054e-01
0.000000000000000000e+00,1.065766762630067227e-01
1.000000000000000000e+00,8.511036031300044380e-01
1.000000000000000000e+00,8.549673399318458156e-01
0.000000000000000000e+00,1.255862393879282612e-01
1.000000000000000000e+00,8.536673349984850168e-01
0.000000000000000000e+00,1.721136315475588208e-01
1.000000000000000000e+00,8.521070029041662997e-01
0.000000000000000000e+00,1.275130604485793517e-01
1.000000000000000000e+00,8.538966988610242614e-01
0.000000000000000000e+00,1.285563843086252322e-01
0.000000000000000000e+00,1.584183683008463517e-01
1.000000000000000000e+00,8.545590465222580034e-01
1.000000000000000000e+00,8.533079551779572114e-01
0.000000000000000000e+00,8.876196733505997694e-02
0.000000000000000000e+00,1.277912431155916462e-01
1.000000000000000000e+00,8.564999110296550588e-01
1.000000000000000000e+00,8.550869454279654835e-01
0.000000000000000000e+00,8.849324213457142319e-02
1.000000000000000000e+00,8.561006384061652374e-01
0.000000000000000000e+00,1.162218029006808345e-01
0.000000000000000000e+00,1.418624185872624510e-01
0.000000000000000000e+00,1.250780798707608610e-01
0.000000000000000000e+00,1.522868606052839857e-01
0.000000000000000000e+00,1.136147385833727874e-01
0.000000000000000000e+00,1.355703489554758445e-01
1.000000000000000000e+00,8.569424943614603052e-01
0.000000000000000000e+00,1.607895473257640040e-01
0.000000000000000000e+00,1.230317644342519001e-01
1.000000000000000000e+00,8.546419901175932310e-01
0.000000000000000000e+00,1.352740597174474368e-01
0.000000000000000000e+00,1.650403863401622984e-01
0.000000000000000000e+00,1.550658804842895699e-01
1.000000000000000000e+00,8.587741670187911680e-01
1.000000000000000000e+00,8.551344852651050488e-01
1.000000000000000000e+00,8.630735023444146004e-01
1.000000000000000000e+00,8.613462204657211796e-01
1.000000000000000000e+00,8.621951419490333501e-01
0.000000000000000000e+00,1.205398555712406117e-01
0.000000000000000000e+00,1.170110553615083676e-01
0.000000000000000000e+00,1.396740577595469435e-01
0.000000000000000000e+00,1.566781279978242680e-01
1.000000000000000000e+00,8.638751029485118860e-01
0.000000000000000000e+00,2.534585408434044673e-01
0.000000000000000000e+00,1.221011477636022857e-01
0.000000000000000000e+00,1.580475776433790114e-01
1.000000000000000000e+00,8.601809885375237830e-01
0.000000000000000000e+00,1.163948873650427623e-01
0.000000000000000000e+00,1.294376513364103587e-01
1.000000000000000000e+00,8.620393027053613322e-01
1.000000000000000000e+00,8.557577673988731037e-01
0.000000000000000000e+00,1.654267821004128947e-01
1.000000000000000000e+00,8.574064409873604076e-01
1.000000000000000000e+00,8.570276033831711882e-01
0.000000000000000000e+00,1.270257721316517541e-01
1.000000000000000000e+00,8.550726427585234601e-01
1.000000000000000000e+00,8.571940483557608514e-01
0.000000000000000000e+00,1.143792112950832857e-01
1.000000000000000000e+00,8.585795405352785181e-01
1.000000000000000000e+00,8.612425083358784539e-01
0.000000000000000000e+00,1.427071497937898725e-01
0.000000000000000000e+00,1.273305086043284573e-01
0.000000000000000000e+00,1.479514495201492696e-01
1.000000000000000000e+00,8.516646761212499639e-01
1.000000000000000000e+00,8.543049686307121471e-01
0.000000000000000000e+00,1.408220029289368180e-01
0.000000000000000000e+00,1.225320464964274325e-01
0.000000000000000000e+00,1.474814621309499807e-01
0.000000000000000000e+00,1.670259853397633998e-01
0.000000000000000000e+00,1.576838750903295783e-01
0.000000000000000000e+00,1.226973622373158518e-01
0.000000000000000000e+00,1.149886804449908595e-01
0.000000000000000000e+00,1.329618592465177940e-01
1.000000000000000000e+00,8.525228250667346019e-01
0.000000000000000000e+00,1.225202277040075283e-01
1.000000000000000000e+00,8.532442540181512936e-01
1.000000000000000000e+00,8.537239715482518587e-01
0.000000000000000000e+00,2.540079376355994789e-01
0.000000000000000000e+00,1.199654319122382407e-01
0.000000000000000000e+00,1.214675657986627466e-01
1.000000000000000000e+00,8.557416048477248793e-01
1.000000000000000000e+00,8.603196010135135685e-01
0.000000000000000000e+00,1.564513407603883577e-01
1.000000000000000000e+00,8.535979245198671572e-01
1.000000000000000000e+00,8.530374037179059288e-01
1.000000000000000000e+00,8.420194882226154087e-01
1.000000000000000000e+00,8.496624322697577947e-01
0.000000000000000000e+00,1.003321348764668053e-01
0.000000000000000000e+00,1.190910604625748104e-01
1.000000000000000000e+00,8.582986616499734822e-01
1.000000000000000000e+00,8.372188584001193368e-01
1.000000000000000000e+00,8.480497634061088252e-01
0.000000000000000000e+00,9.596459237346167959e-02
1.000000000000000000e+00,8.559001299097920290e-01
0.000000000000000000e+00,1.263428223940590012e-01
0.000000000000000000e+00,1.307162797349549210e-01
1.000000000000000000e+00,8.548336787506773948e-01
0.000000000000000000e+00,1.138077579440440329e-01
0.000000000000000000e+00,1.592493950726986685e-01
0.000000000000000000e+00,1.156426376482704160e-01
1.000000000000000000e+00,8.553247358217153096e-01
1.000000000000000000e+00,8.537837146384921194e-01
0.000000000000000000e+00,1.010377850271513001e-01
0.000000000000000000e+00,1.378513335773328963e-01
1.000000000000000000e+00,8.576294680750864430e-01
1.000000000000000000e+00,8.519751063390262891e-01
0.000000000000000000e+00,1.245610530699959445e-01
0.000000000000000000e+00,1.239046928013474713e-01
1.000000000000000000e+00,8.539725877166312040e-01
0.000000000000000000e+00,1.161390462698641823e-01
0.000000000000000000e+00,1.163167424668709454e-01
0.000000000000000000e+00,1.348602167473161584e-01
1.000000000000000000e+00,8.518870648449642369e-01
0.000000000000000000e+00,1.127237485065247791e-01
1.000000000000000000e+00,8.543774101446276470e-01
0.000000000000000000e+00,1.376768469271113515e-01
1.000000000000000000e+00,8.487506653493358533e-01
1.000000000000000000e+00,8.532849637652344388e-01
0.000000000000000000e+00,1.353647837681766219e-01
0.000000000000000000e+00,1.142817951565431728e-01
0.000000000000000000e+00,1.616525603576112469e-01
0.000000000000000000e+00,1.993264163530308608e-01
1.000000000000000000e+00,8.322732851206461335e-01
0.000000000000000000e+00,1.702848579626520531e-01
1.000000000000000000e+00,8.573801238288565330e-01
0.000000000000000000e+00,1.230750789131234424e-01
1.000000000000000000e+00,8.578572138278558468e-01
1.000000000000000000e+00,8.556339737729500294e-01
1.000000000000000000e+00,8.455016189629076528e-01
1.000000000000000000e+00,8.574554286669787695e-01
1.000000000000000000e+00,8.508709271560894738e-01
