endpoint,method,k,k_effective,seed,auroc,n_eval_patients
egfr,finetune,10,10,0,0.7256410256410256,43
egfr,finetune,10,10,1,0.6552706552706553,40
egfr,finetune,10,10,2,0.8854166666666666,36
egfr,finetune,10,10,3,0.7586206896551724,43
egfr,finetune,10,10,4,0.5858585858585859,38
egfr,finetune,10,10,5,0.7096774193548387,42
egfr,finetune,10,10,6,0.8186274509803921,41
egfr,finetune,10,10,7,0.7487684729064039,43
egfr,finetune,25,25,0,0.7487179487179487,43
egfr,finetune,25,25,1,0.7094017094017094,40
egfr,finetune,25,25,2,0.9131944444444444,36
egfr,finetune,25,25,3,0.7536945812807881,43
egfr,finetune,25,25,4,0.6127946127946128,38
egfr,finetune,25,25,5,0.7390029325513197,42
egfr,finetune,25,25,6,0.8431372549019608,41
egfr,finetune,25,25,7,0.7955665024630542,43
egfr,finetune,50,50,0,0.7512820512820513,43
egfr,finetune,50,50,1,0.7578347578347578,40
egfr,finetune,50,50,2,0.8993055555555556,36
egfr,finetune,50,50,3,0.7512315270935961,43
egfr,finetune,50,50,4,0.6026936026936027,38
egfr,finetune,50,50,5,0.7478005865102639,42
egfr,finetune,50,50,6,0.8504901960784313,41
egfr,finetune,50,50,7,0.8226600985221675,43
egfr,finetune,100,62,0,0.7512820512820513,43
egfr,finetune,100,65,1,0.7521367521367521,40
egfr,finetune,100,69,2,0.9131944444444444,36
egfr,finetune,100,62,3,0.7487684729064039,43
egfr,finetune,100,67,4,0.632996632996633,38
egfr,finetune,100,63,5,0.750733137829912,42
egfr,finetune,100,64,6,0.8578431372549019,41
egfr,finetune,100,62,7,0.8152709359605911,43
egfr,linear_probe,10,10,0,0.7076923076923077,43
egfr,linear_probe,10,10,1,0.6267806267806267,40
egfr,linear_probe,10,10,2,0.8819444444444444,36
egfr,linear_probe,10,10,3,0.7561576354679803,43
egfr,linear_probe,10,10,4,0.5420875420875421,38
egfr,linear_probe,10,10,5,0.7008797653958945,42
egfr,linear_probe,10,10,6,0.8137254901960784,41
egfr,linear_probe,10,10,7,0.7192118226600985,43
egfr,linear_probe,25,25,0,0.7282051282051282,43
egfr,linear_probe,25,25,1,0.6638176638176638,40
egfr,linear_probe,25,25,2,0.9166666666666666,36
egfr,linear_probe,25,25,3,0.7660098522167488,43
egfr,linear_probe,25,25,4,0.5589225589225589,38
egfr,linear_probe,25,25,5,0.7214076246334311,42
egfr,linear_probe,25,25,6,0.8161764705882353,41
egfr,linear_probe,25,25,7,0.7610837438423645,43
egfr,linear_probe,50,50,0,0.7538461538461538,43
egfr,linear_probe,50,50,1,0.7378917378917379,40
egfr,linear_probe,50,50,2,0.9305555555555556,36
