slide_id,cohort,is_he
CDDP-A8B0-TTP1-C-1-0-S1,eagle,1
CDDP-A8B5-TTP1-C-1-0-S1,eagle,1
CDDP-A8B6-TTP1-C-1-0-S1,eagle,1
CDDP-A8B7-TTP2-C-1-0-S1,eagle,1
CDDP-A8B9-TTP1-D-1-0-S1,eagle,1
CDDP-ABIW-TTP1-A-1-0-S1,eagle,1
CDDP-ABIX-TTP2-A-1-0-S1,eagle,1
CDDP-ABIZ-TTP2-A-1-0-S1,eagle,1
CDDP-ABJ3-TTP2-A-1-0-S1,eagle,1
CDDP-ABJ4-TTP2-A-1-0-S1,eagle,1
CDDP-ABJ9-TTP1-A-1-0-S1,eagle,1
CDDP-ABJH-TTP1-H-1-0-S1,eagle,1
CDDP-ABJI-TTP1-A-1-0-S1,eagle,1
CDDP-ABJO-TTP1-G-1-0-S1,eagle,1
CDDP-ABJP-TTP1-B-1-0-S1,eagle,1
CDDP-ABJZ-TTP1-A-1-0-S1,eagle,1
CDDP-ABK0-TTP1-A-1-0-S1,eagle,1
CDDP-ABK3-TTP1-A-1-0-S1,eagle,1
CDDP-ABK4-TTP1-A-1-0-S1,eagle,1
CDDP-ABK9-TTP2-A-1-0-S1,eagle,1
CDDP-ABKD-TTP1-A-1-0-S1,eagle,1
CDDP-ABKE-TTP1-A-1-0-S1,eagle,1
CDDP-ABKI-TTP1-A-1-0-S1,eagle,1
CDDP-ABKU-TTP2-A-1-0-S1,eagle,1
CDDP-ABKV-TTP1-A-1-0-S1,eagle,1
CDDP-ABL4-TTP1-A-1-0-S1,eagle,1
CDDP-ABL8-TTP1-C-1-0-S1,eagle,1
CDDP-ABLE-TTP1-B-1-0-S1,eagle,1
CDDP-ABLL-TTP1-B-1-0-S1,eagle,1
CDDP-ABLQ-TTP2-B-1-0-S1,eagle,1
CDDP-ABM9-TTP1-A-1-0-S1,eagle,1
CDDP-ACIT-TTP1-A-1-0-S1,eagle,1
CDDP-ACIV-TTP1-A-1-0-S1,eagle,1
CDDP-ACJ1-TTP1-A-1-0-S1,eagle,1
CDDP-ACK4-TTP1-A-1-0-S1,eagle,1
CDDP-ACL2-TTP1-A-1-0-S1,eagle,1
CDDP-ACLV-TTP1-A-1-0-S1,eagle,1
CDDP-ACM1-TTP1-A-1-0-S1,eagle,1
CDDP-ACM9-TTP1-A-1-0-S1,eagle,1
CDDP-ACMK-TTP1-A-1-0-S1,eagle,1
CDDP-ACNN-TTP1-A-1-0-S1,eagle,1
CDDP-ACO6-TTP1-A-1-0-S1,eagle,1
CDDP-ACPV-TTP1-A-1-0-S1,eagle,1
CDDP-ACQA-TTP1-A-1-0-S1,eagle,1
CDDP-ACQQ-TTP1-A-1-0-S1,eagle,1
CDDP-ACR2-TTP1-A-1-0-S1,eagle,1
CDDP-ACR8-TTP1-A-1-0-S1,eagle,1
CDDP-ACRK-TTP1-A-1-0-S1,eagle,1
CDDP-ACRT-TTP1-A-1-0-S1,eagle,1
HTMCP-02-01-01248-01-HE,htmcp,1
HTMCP-02-01-01249-01-HE,htmcp,1
HTMCP-02-01-01250-01-HE,htmcp,1
HTMCP-02-01-01251-01-HE,htmcp,1
HTMCP-02-01-01252-01-HE,htmcp,1
HTMCP-02-01-01254-01-HE,htmcp,1
HTMCP-02-01-01255-01-HE,htmcp,1
HTMCP-02-01-01256-01-HE,htmcp,1
HTMCP-02-04-01015-01-HE,htmcp,1
HTMCP-02-06-01032-01-HE,htmcp,1
HTMCP-02-06-01032-CHR,htmcp,0
HTMCP-02-06-01037-01-HE,htmcp,1
HTMCP-02-06-01050-01-HE,htmcp,1
HTMCP-02-06-01157-01-HE,htmcp,1
HTMCP-02-06-01158-01-HE,htmcp,1
HTMCP-02-06-01162-01-HE,htmcp,1
HTMCP-02-06-01163-01-HE,htmcp,1
HTMCP-02-06-01164-01-HE,htmcp,1
HTMCP-02-07-01065-06-HE,htmcp,1
HTMCP-02-07-01065-06-P16,htmcp,0
HTMCP-02-07-01066-01-HE,htmcp,1
HTMCP-02-15-01090-01-HE,htmcp,1
HTMCP-02-15-01090-CHR,htmcp,0
HTMCP-02-15-01098-01-HE,htmcp,1
HTMCP-02-15-01099-01-HE,htmcp,1
HTMCP-02-25-01216-01-HE,htmcp,1
HTMCP-02-25-01217-01-HE,htmcp,1
HTMCP-02-25-01235-01-HE,htmcp,1
HTMCP-02-28-01225-01-HE,htmcp,1
